cfg_application,cfg_client_maxrate_kbit,cfg_delay,cfg_run_id,cfg_server_maxrate_kbit,cfg_study_id,cfg_time_limit,req_cnt,webc_max_domEnd,webc_max_levEnd,webc_max_respEnd,webc_mean_domEnd,webc_mean_levEnd,webc_mean_respEnd,webc_median_domEnd,webc_median_levEnd,webc_median_respEnd,webc_min_domEnd,webc_min_levEnd,webc_min_respEnd,webc_std_domEnd,webc_std_levEnd,webc_std_respEnd
webclient,11500,100,20180404_003050_e6ab,11500,vagrant,300,157,1371,2232,2229.840102,651.904458599,1463.89808917,1460.98447975,644.0,1448.0,1443.905751,623,1427,1423.484421,60.6052049897,70.9930636886,71.0232607241
webclient,7250,160,20180327_151602_51c2,7250,vagrant,300,114,1178,2903,2702.384667,984.570175439,2402.74561404,2395.10613626,973.0,2387.5,2384.7698735,954,2259,2253.469157,28.5623262168,80.8848880344,65.9653617389
webclient,5250,180,20180319_023532_933e,5250,vagrant,300,93,1303,3226,3222.773572,1225.69892473,3094.76344086,3091.75583365,1223.0,3101.0,3098.087697,1128,2947,2941.93385,26.8583640469,54.8470792685,54.930770327
webclient,1000,60,20180317_214332_aab4,1000,vagrant,600,46,4430,12694,12690.623339,4248.95652174,12511.173913,12507.7456534,4241.5,12504.0,12500.801752,4224,12489,12485.680573,29.9470231675,30.084883065,30.0743951547
webclient,10500,100,20180403_200242_bbab,10500,vagrant,300,147,1020,1931,1927.833095,680.523809524,1578.57823129,1575.65831059,676.0,1558.0,1555.078185,651,1519,1515.147559,36.4141583688,59.2412254383,59.2524879035
webclient,500,20,20180318_234124_6dc1,500,vagrant,600,22,8293,24809,24805.668139,8277.90909091,24797.3181818,24793.3766405,8277.5,24796.5,24792.0145305,8272,24793,24788.387419,4.33704016068,4.01572322974,4.11240502412
webclient,4000,200,20180318_175059_b6f6,4000,vagrant,300,71,1975,4460,4456.995716,1605.49295775,4018.53521127,4015.23261359,1614.0,4025.0,4021.836968,1377,3708,3703.830445,60.5979298767,83.3774433282,83.3423923163
webclient,2250,0,20180318_074339_f4a3,2250,vagrant,300,52,2178,5803,5799.231736,1888.36538462,5526.96153846,5523.03317896,1882.0,5522.0,5517.974827,1872,5505,5500.708529,41.0229901988,39.2589830673,39.2795643406
webclient,11000,220,20180403_215059_5fbd,11000,vagrant,300,98,1804,3373,3370.629866,1265.84693878,2917.64285714,2914.54145801,1251.0,2864.5,2861.103926,1227,2356,2353.570085,70.1840658759,288.312374882,288.223502026
webclient,11250,180,20180403_234426_114e,11250,vagrant,300,137,1544,2649,2646.4657,1038.7810219,2082.22627737,2079.00097536,1032.0,2071.0,2067.212139,1016,2010,2006.089715,47.7216251656,63.2289309071,63.382276993
webclient,1750,100,20180318_044036_e56d,1750,vagrant,600,79,2618,7396,7392.411381,2601.40506329,7382.70886076,7378.99874192,2602.0,7382.0,7378.488262,2585,7372,7368.74168,7.05048519264,5.04449041155,5.18650335491
webclient,8750,0,20180327_210140_f267,8750,vagrant,300,162,560,1648,1475.53568,542.537037037,1464.72222222,1460.64340946,542.5,1463.0,1460.4601055,528,1450,1447.705016,5.95055645172,15.5560515794,5.68564631864
webclient,4500,0,20180318_195956_c73a,4500,vagrant,300,103,1003,2815,2811.724234,980.097087379,2789.66019417,2786.39165259,979.0,2789.0,2784.916717,965,2774,2770.640839,7.09644319922,6.62087519228,6.55228065506
webclient,8000,0,20180327_174025_d071,8000,vagrant,300,147,1270,2289,2286.203038,590.462585034,1601.63265306,1598.85154705,584.0,1596.0,1592.813548,570,1585,1582.33002,58.8227213388,59.2531846077,59.2308860763
webclient,9000,20,20180327_221900_13b2,9000,vagrant,300,141,600,1962,1508.767657,569.432624113,1487.14893617,1481.02411501,570.0,1483.0,1480.178117,552,1471,1468.330765,7.77822470997,40.6784547797,6.5938791872
webclient,11250,220,20180403_225801_e5ad,11250,vagrant,300,106,1880,3133,3130.776811,1257.43396226,2705.66037736,2702.43379826,1244.5,2664.0,2660.959756,1225,2296,2293.693596,66.6664492105,263.144048606,263.038798381
