cfg_application,cfg_client_maxrate_kbit,cfg_delay,cfg_run_id,cfg_server_maxrate_kbit,cfg_study_id,cfg_time_limit,webdlc_content_size,webdlc_file_cnt,webdlc_max,webdlc_mean,webdlc_mean_mos,webdlc_median,webdlc_min,webdlc_std,webdlc_std_mos
webdlclient,2250,160,20180321_075349_d45b,2250,vagrant,900,10485760,21,39.5220205784,39.5049577441,3.43360405731,39.5064573288,39.4849545956,0.00793566947406,0.000337483851931
webdlclient,1750,60,20180321_000349_7776,1750,vagrant,900,10485760,16,50.2779915333,50.27693519,3.02852200267,50.2767646313,50.2766196728,0.000398098194262,1.33023234281e-05
webdlclient,4250,160,20180322_132754_fea9,4250,vagrant,900,10485760,41,21.3825292587,21.3669776277,4.46609772226,21.3687427044,21.3574185371,0.00563837999747,0.000443336666057
webdlclient,500,80,20180323_013531_34c4,500,vagrant,900,10485760,4,176.03421545,176.031747937,1.0,176.031765461,176.029245377,0.00245795199512,0.0
webdlclient,2750,160,20180321_174535_ca73,2750,vagrant,900,10485760,26,32.5204312801,32.5151139406,3.76073557261,32.5135776997,32.5093767643,0.00442514745642,0.000228638708156
webdlclient,2750,140,20180321_173025_f99e,2750,vagrant,900,10485760,26,32.5084562302,32.3592566068,3.76880931168,32.3469091654,32.3374094963,0.0434758607412,0.0022525372631
webdlclient,1250,160,20180320_184527_e2f3,1250,vagrant,900,10485760,11,70.61946702,70.6190498092,2.45773610849,70.6189906597,70.6188371181,0.000187414277233,4.45850844855e-06
webdlclient,3500,200,20180322_010508_a7a2,3500,vagrant,900,10485760,33,26.3241794109,26.3055699016,4.11676860665,26.3104262352,26.2851529121,0.0122701292468,0.000783756444135
webdlclient,1750,180,20180321_013446_90fd,1750,vagrant,900,10485760,16,50.6733043194,50.6660888046,3.01556854607,50.6660108566,50.6589012146,0.00684434610732,0.000226946687657
webdlclient,3500,160,20180322_033642_a0c1,3500,vagrant,900,10485760,34,25.6495063305,25.643906951,4.15956592571,25.6437703371,25.6427297592,0.00116079132089,7.60403789425e-05
webdlclient,500,60,20180323_012021_4739,500,vagrant,900,10485760,4,176.018314838,176.01265949,1.0,176.01190424,176.008514643,0.00369817983883,0.0
webdlclient,3500,20,20180322_012018_9879,3500,vagrant,900,10485760,34,25.1190619469,25.1150827688,4.19457281338,25.1149741411,25.1112208366,0.00343055026502,0.000229476454989
webdlclient,500,220,20180323_003448_0bb3,500,vagrant,900,10485760,4,176.308932066,176.307076991,1.0,176.30686152,176.305652857,0.00124668363009,0.0
webdlclient,1750,0,20180320_223252_2690,1750,vagrant,900,10485760,16,50.1795761585,50.1615264863,3.03238282378,50.1616256237,50.1481814384,0.00673829399775,0.000225672978568
webdlclient,4750,40,20180322_183102_36c1,4750,vagrant,900,10485760,47,18.5742137432,18.573438269,4.70148938331,18.5733866692,18.5728428364,0.000256926881346,2.32394243331e-05
webdlclient,250,180,20180321_144340_3e6a,250,vagrant,900,10485760,1,353.066790342,353.066790342,1.0,353.066790342,353.066790342,0.0,0.0
webdlclient,1250,220,20180320_164409_57f3,1250,vagrant,900,10485760,11,71.0201337337,71.0108486956,2.44844113275,71.0111477375,70.9912011623,0.00697181727381,0.000164955460746
webdlclient,3250,120,20180321_234921_7922,3250,vagrant,900,10485760,31,27.3774485588,27.3712837696,4.05004936846,27.3706786633,27.3699519634,0.00200256495869,0.000122902071659
webdlclient,2250,40,20180321_062254_d43e,2250,vagrant,900,10485760,22,39.0847969055,39.0837900964,3.45161088693,39.0837626457,39.0822191238,0.00052427024457,2.25356286465e-05
webdlclient,1250,240,20180320_165919_ca4d,1250,vagrant,900,10485760,11,70.9067497253,70.9044773362,2.45095958814,70.9061479568,70.8869309425,0.00555869118302,0.000131721389947
webdlclient,250,0,20180321_114118_fafb,250,vagrant,900,10485760,1,352.821978092,352.821978092,1.0,352.821978092,352.821978092,0.0,0.0
webdlclient,250,40,20180321_125718_d349,250,vagrant,900,10485760,1,352.83755517,352.83755517,1.0,352.83755517,352.83755517,0.0,0.0
webdlclient,1500,0,20180320_191547_1494,1500,vagrant,900,10485760,14,58.5377659798,58.5280455521,2.7732298491,58.5219410658,58.5210418701,0.00754187364037,0.000216478687641
webdlclient,1000,40,20180320_135722_cf59,1000,vagrant,900,10485760,9,87.8928067684,87.8925727738,2.09012628793,87.892591238,87.8922643661,0.000169896212956,3.24743888606e-06
webdlclient,1500,200,20180320_193056_3811,1500,vagrant,900,10485760,14,59.0751726627,59.0737722261,2.75763777761,59.0748949051,59.0589909554,0.00410317543409,0.000116703724137
webdlclient,750,0,20180323_030634_064e,750,vagrant,900,10485760,6,117.178118944,117.161094069,1.60723625132,117.161628127,117.143998146,0.0163722454374,0.000234765485202
webdlclient,5000,40,20180322_214804_de49,5000,vagrant,900,10485760,50,17.6524505615,17.6516885138,4.78700317353,17.6519360542,17.647097826,0.000780268506982,7.4269093969e-05
webdlclient,750,60,20180323_043734_7227,750,vagrant,900,10485760,6,117.232627869,117.232273817,1.606215882,117.232292414,117.231839657,0.000269811014129,3.8665345444e-06
webdlclient,4500,20,20180322_142832_dfc2,4500,vagrant,900,10485760,45,19.5493941307,19.5444241206,4.61588075174,19.5435657501,19.5426735878,0.00210549937171,0.000180969502144
webdlclient,3500,140,20180322_032132_a637,3500,vagrant,900,10485760,34,25.5345516205,25.5340036925,4.16678144956,25.5340023041,25.5333452225,0.000324929750427,2.13786631725e-05
